1,512,fast_pipe,314
1,512,fast_event,328
1,512,fast_spin,2662
1,512,raw_pipe,297
1,1024,fast_pipe,600
1,1024,fast_event,661
1,1024,fast_spin,4674
1,1024,raw_pipe,562
1,4096,fast_pipe,2220
1,4096,fast_event,2698
1,4096,fast_spin,12972
1,4096,raw_pipe,2519
1,8192,fast_pipe,3710
1,8192,fast_event,4498
1,8192,fast_spin,12496
1,8192,raw_pipe,1999
1,16384,fast_pipe,6141
1,16384,fast_event,7407
1,16384,fast_spin,14084
1,16384,raw_pipe,2008
1,32768,fast_pipe,7720
1,32768,fast_event,9576
1,32768,fast_spin,15040
1,32768,raw_pipe,2146
1,65536,fast_pipe,7530
1,65536,fast_event,9457
1,65536,fast_spin,15062
1,65536,raw_pipe,1688
1,131072,fast_pipe,7612
1,131072,fast_event,9615
1,131072,fast_spin,14936
1,131072,raw_pipe,1799
1,262144,fast_pipe,7563
1,262144,fast_event,9435
1,262144,fast_spin,14256
1,262144,raw_pipe,1754
1,524288,fast_pipe,7699
1,524288,fast_event,9530
1,524288,fast_spin,14227
1,524288,raw_pipe,1787
1,1048576,fast_pipe,7582
1,1048576,fast_event,9622
1,1048576,fast_spin,14626
1,1048576,raw_pipe,1767
1,2097152,fast_pipe,7644
1,2097152,fast_event,9524
1,2097152,fast_spin,14127
1,2097152,raw_pipe,1766
2,512,fast_pipe,519
2,512,fast_event,562
2,512,fast_spin,3552
2,512,raw_pipe,473
2,1024,fast_pipe,1028
2,1024,fast_event,1118
2,1024,fast_spin,6297
2,1024,raw_pipe,840
2,4096,fast_pipe,3685
2,4096,fast_event,4124
2,4096,fast_spin,16598
2,4096,raw_pipe,3690
2,8192,fast_pipe,7209
2,8192,fast_event,8048
2,8192,fast_spin,23740
2,8192,raw_pipe,3173
2,16384,fast_pipe,10402
2,16384,fast_event,9532
2,16384,fast_spin,20001
2,16384,raw_pipe,3302
2,32768,fast_pipe,14963
2,32768,fast_event,17340
2,32768,fast_spin,25886
2,32768,raw_pipe,3507
2,65536,fast_pipe,13149
2,65536,fast_event,17680
